2019-03-09 22:54:20,b'#unitedAIRLINES United fucking thieves. When are you going settle my balance. Else give that unsettled fund$$ to ch\xe2\x80\xa6 https://t.co/F5mUh1iW6X'
2019-03-09 22:46:33,b'Boeing 777-200 United Airlines in Frankfurt. \n@frankfurtmainDE @united \n#planespotting #boeing #Germany #Frankfurt\xe2\x80\xa6 https://t.co/mkeGXkd5Fi'
2019-03-09 22:46:31,b'RT @SNspotter53: An United 757 taking off from SFO!\nUnited @united #United #UnitedAirlines\nSan Francisco International Airport @flySFO #SFO\xe2\x80\xa6'
2019-03-09 22:39:34,"b'If I don\xe2\x80\x99t make it, blame the duct tape #unitedairlines https://t.co/hOpbx0C5dW'"
2019-03-09 22:39:25,b'An United 757 taking off from SFO!\nUnited @united #United #UnitedAirlines\nSan Francisco International Airport\xe2\x80\xa6 https://t.co/e23Ar8EHtG'
2019-03-09 22:30:13,b'RT @nwa_airlines: What do think @FakeOscarMunoz ? Lets change the Teal to Gold #unitedairlines #new #livery ???  #avgeek https://t.co/vXciF\xe2\x80\xa6'
2019-03-09 22:14:41,b'@united - can i upgrade my seat using rewards points? #UnitedAirlines'
2019-03-09 21:34:09,b'#UnitedAirlines gate agent having a bad is not my problem. It is yours. You embarrassed yourself in ATL today.'
2019-03-09 21:17:13,"b'RT @GO2AZ: ""Have your mother #fly #AmericanAirlines next time""-this said by a @united rep after I called them 2X telling them my senior mot\xe2\x80\xa6'"
2019-03-09 21:15:25,"b'#UnitedAirlines is now offering a new daily service from LAX to Redding, California!  This great RDD crew is ready\xe2\x80\xa6 https://t.co/lHtEz1PMkf'"
2019-03-09 21:02:40,b'RT @nwa_airlines: What do think @FakeOscarMunoz ? Lets change the Teal to Gold #unitedairlines #new #livery ???  #avgeek https://t.co/vXciF\xe2\x80\xa6'
2019-03-09 21:02:25,"b""That's flying the friendly skies for you. \n#UnitedAirlines employees fired, accused of abusing family travel perks\xe2\x80\xa6 https://t.co/lZuK4YMcb4"""
2019-03-09 20:50:44,b'@united your baggage service is a disgrace. Flight is cancelled and waiting 3 hrs with no one who can tell me where they are #UnitedAirlines'
2019-03-09 20:42:31,"b""Super happy with @united airlines customer service. DM'd them here on Twitter. Issue solved! I love this new interc\xe2\x80\xa6 https://t.co/y54yjSt2GJ"""
2019-03-09 20:31:30,b'#UnitedAirlines will care if I miss the flight. There is no way out until the next day.'
2019-03-09 20:00:22,b'$671* &amp; up -- United Airlines Flights to Tahiti through Spring (Roundtrip) https://t.co/nobh7u7Jq2 #ppt #ord\xe2\x80\xa6 https://t.co/uHLHjMA9Tc'
2019-03-09 19:31:30,b'RT @SNspotter53: An United 777 landing at SFO!\nUnited @united #United #UnitedAirlines\nSan Francisco International Airport @flySFO #SFO #San\xe2\x80\xa6'
2019-03-09 19:28:21,b'An United 777 landing at SFO!\nUnited @united #United #UnitedAirlines\nSan Francisco International Airport @flySFO\xe2\x80\xa6 https://t.co/YG25DfaDs5'
2019-03-09 19:25:44,"b""#unitedAIRLINES racial profiling at it's best. Agent lies and frauds, customer service hangs up. Takes 4 different\xe2\x80\xa6 https://t.co/q3zZEOkRIp"""
2019-03-09 19:23:32,b'Just now landed in LA. United had #AStarIsBorn as their free movie. I watched it for the first time. I\xe2\x80\x99m bawling my\xe2\x80\xa6 https://t.co/6qdTjGQgkG'
2019-03-09 19:02:08,b'RT @AvEcuadorRT: RT @nwa_airlines: What do think @FakeOscarMunoz ? Lets change the Teal to Gold #unitedairlines #new #livery ???  #avgeek h\xe2\x80\xa6'
2019-03-09 19:01:39,b'RT @nwa_airlines: What do think @FakeOscarMunoz ? Lets change the Teal to Gold #unitedairlines #new #livery ???\xe2\x80\xa6 https://t.co/cik3u7fe56'
2019-03-09 18:59:34,b'What do think @FakeOscarMunoz ? Lets change the Teal to Gold #unitedairlines #new #livery ???  #avgeek https://t.co/vXciFxtqRJ'
2019-03-09 18:43:57,b'#unitedAIRLINES fuking thief. Ruined ny 9th month plan. Racist agent. Robbed me 700 on basic economy flights.'
2019-03-09 18:27:29,"b'RT @Michaelkelly707: Now, this looks interesting #avgeek #UnitedAirlines https://t.co/JUQGTuxhoo'"
2019-03-09 18:26:58,b'@united thank you for your customer service employees at IAH! Robert and Rico as well as their supervisor Stephanie\xe2\x80\xa6 https://t.co/3JJkhVcj1X'
